Author,Wikidata
Alfhild Agrell,https://www.wikidata.org/wiki/Q469339
Anne Charlotte Leffler,https://www.wikidata.org/wiki/Q243068
August Strindberg,https://www.wikidata.org/wiki/Q7724
Augusta Barthelson,https://www.wikidata.org/wiki/Q18237593
Elisabeth Kuylenstierna,https://www.wikidata.org/wiki/Q4960199
Emilie Lundberg,https://www.wikidata.org/wiki/Q18244062
Frans Hedberg,https://www.wikidata.org/wiki/Q1445442
Fredrika Bremer,https://www.wikidata.org/wiki/Q262145
Gerda Meyerson,https://www.wikidata.org/wiki/Q4967157
Gustaf af Geijerstam,https://www.wikidata.org/wiki/Q343550
Harald Molander,https://www.wikidata.org/wiki/Q5990904
Hedvig Aurelius,https://www.wikidata.org/wiki/Q16497462
Hedvig Indebetou,https://www.wikidata.org/wiki/Q18242858
Laura Marholm,https://www.wikidata.org/wiki/Q89768
Lydia Kullgren,https://www.wikidata.org/wiki/Q16595525
Mathilda Malling,https://www.wikidata.org/wiki/Q4965144
Toino Topelius,https://www.wikidata.org/wiki/Q15042696
Victoria Benedictsson,https://www.wikidata.org/wiki/Q273950
Axel Lundegård,https://www.wikidata.org/wiki/Q5966284
Wilma Lindhé,https://www.wikidata.org/wiki/Q4962825
Zacharias Topelius,https://www.wikidata.org/wiki/Q139549
Anna Wahlenberg,https://www.wikidata.org/wiki/Q4990085
Gerda Meyerson,https://www.wikidata.org/wiki/Q4967157