Author,Title,Subtitle,Wikidata,Instructions
Alfhild Agrell,En hufvudsak,Komedi i en akt,https://www.wikidata.org/wiki/Q18238627,
Alfhild Agrell,Dömd,Skådespel i tre akter,https://www.wikidata.org/wiki/Q18238498,
Alfhild Agrell,Småstadslif,Lustspel i tre akter,https://www.wikidata.org/wiki/Q18245923,
Alfhild Agrell,Ensam,Skådespel i tre akter,https://www.wikidata.org/wiki/Q18238675,
Alfhild Agrell,Hvarför?,Komedie i en akt,https://www.wikidata.org/wiki/Q18242708,
Alfhild Agrell,Ingrid: En döds kärlekssaga,Skådespel i tre akter och epilog,https://www.wikidata.org/wiki/Q18242883,
Alfhild Agrell,En lektion,Konversation i en akt,https://www.wikidata.org/wiki/Q10483370,
Anne Charlotte Leffler,Moster Malvina,Dramatisk situation i en akt,https://www.wikidata.org/wiki/Q10589602,
Anne Charlotte Leffler,Den kärleken!,Komedi i två akter,https://www.wikidata.org/wiki/Q10468693,
Anne Charlotte Leffler,Familjelycka,Komedi i tre akter,https://www.wikidata.org/wiki/Q10493926,
Anne Charlotte Leffler,Skådespelerskan,Dramatisk teckning i två akter,https://www.wikidata.org/wiki/Q10671060,
Anne Charlotte Leffler,Hur man gör godt,,https://www.wikidata.org/wiki/Q10527255,
Anne Charlotte Leffler,Sanna kvinnor,Skådespel i tre akter,https://www.wikidata.org/wiki/Q10661543,
Anne Charlotte Leffler,Elfvan,Skådespel i tre akter,https://www.wikidata.org/wiki/Q10481351,
Anne Charlotte Leffler,Under toffeln,Komedi i två akter,https://www.wikidata.org/wiki/Q10709356,
August Strindberg,Kamraterna,Komedi i fyra akter,https://www.wikidata.org/wiki/Q10543210,
August Strindberg,Lycko-Pers resa,Sagospel i fem akter,https://www.wikidata.org/wiki/Q10571228,
August Strindberg,Till Damaskus,,https://www.wikidata.org/wiki/Q931843,
August Strindberg,Fadren,Sorgespel i tre akter,https://www.wikidata.org/wiki/Q1197789,
August Strindberg,Gillets hemlighet,Comedi i fyra akter,https://www.wikidata.org/wiki/Q10504934,
August Strindberg,Fröken Julie,Ett naturalistiskt sorgespel,https://www.wikidata.org/wiki/Q658557,
August Strindberg,Bandet,Sorgespel i en akt.,https://www.wikidata.org/wiki/Q10425863,
August Strindberg,Mäster Olof,Skådespel i fem akter,https://www.wikidata.org/wiki/Q1765367,
August Strindberg,Herr Bengts hustru,Skådespel i fem akter,https://www.wikidata.org/wiki/Q11975209,
August Strindberg,Anno fyrtiåtta,Lustspel i fyra akter,https://www.wikidata.org/wiki/Q10412491,
August Strindberg,Inför döden,Sorgespel i nio scener,https://www.wikidata.org/wiki/Q10535423,
August Strindberg,Samum,,https://www.wikidata.org/wiki/Q10661034,
August Strindberg,Fordringsegare,Tragi-komedi,https://www.wikidata.org/wiki/Q3492067,
August Strindberg,Paria,En akt. or Fritt efter en novell af Ola Hansson,https://www.wikidata.org/wiki/Q10620375,
August Strindberg,Höstslask eller Den Samhällsvådlige Reformatorn,Toalett-pjes af Rococo,https://www.wikidata.org/wiki/Q59618183,
August Strindberg,Första varningen,Komedi i en akt,https://www.wikidata.org/wiki/Q10501513,
August Strindberg,Marodörer,Komedi i fem akter,https://www.wikidata.org/wiki/Q10543210,
August Strindberg,Moderskärlek,En akt,https://www.wikidata.org/wiki/Q10587278,
August Strindberg,Den starkare,En scen,https://www.wikidata.org/wiki/Q7767064,
Augusta Barthelson,Efterspel,Komedi i tre akter,https://www.wikidata.org/wiki/Q59618221,
Elisabeth Kuylenstierna,Nu är det jul igen,Sagospel i en akt,https://www.wikidata.org/wiki/Q59618329,
Elisabeth Kuylenstierna,När nyår kom,En nyårspjes för Kamraten,https://www.wikidata.org/wiki/Q59618347,
Emilie Lundberg,Förlåt mig!,Komedi i en akt,https://www.wikidata.org/wiki/Q59618575,
Frans Hedberg,Rospiggarna,Folklustspel med sång i fyra akter,https://www.wikidata.org/wiki/Q59618593,
Fredrika Bremer,Konstnärns förtviflan,,https://www.wikidata.org/wiki/Q59618616,
Gerda Meyerson,Den nya klassen,En liten nyårspjes att spelas i jullofvet,https://www.wikidata.org/wiki/Q59618652,
Gustaf af Geijerstam,Lars Anders och Jan Anders och deras barn,En landtlig comoedia i tre akter,https://www.wikidata.org/wiki/Q59618667,
Harald Molander,Vårflod,Komedi i fyra akter,https://www.wikidata.org/wiki/Q59618305,
Hedvig Aurelius,Farmors födelsedag,Ett äfventyr i skogen.,https://www.wikidata.org/wiki/Q59625323,
Hedvig Indebetou,I ”fruntimmersveckan”,Skämt i 1 akt,https://www.wikidata.org/wiki/Q59625508,
Hedvig Indebetou,På fotvandring,Komedi i en akt,https://www.wikidata.org/wiki/Q59618568,
Hedvig Indebetou,I det gröna,Komedi i två akter,https://www.wikidata.org/wiki/Q59618558,
Laura Marholm,Otteringning,En huslig scen,https://www.wikidata.org/wiki/Q59625918,
Lydia Kullgren,Kärlek,Dramatisk teckning ur hvardagslifvet,https://www.wikidata.org/wiki/Q59625974,
Mathilda Malling,Fru Leonora,Komedi i fyra akter,https://www.wikidata.org/wiki/Q59645535,
Toino Topelius,I små maffarnas land,,https://www.wikidata.org/wiki/Q59645587,
Toino Topelius,Jeppe och Murra,Ett uppträde på morgonkvisten i Björkuddens matsal.,https://www.wikidata.org/wiki/Q59645707,
Victoria Benedictsson,I telefon,Bagatell i en akt,https://www.wikidata.org/wiki/Q59645770,
Victoria Benedictsson,Romeos Julia.,Dramatisk interiör i 1 akt,https://www.wikidata.org/wiki/Q59618743,
Victoria Benedictsson and Axel Lundegård,Final,Skådespel i tre akter,https://www.wikidata.org/wiki/Q59647545,
Wilma Lindhé,Mödrar,Skådespel i tre akter,https://www.wikidata.org/wiki/Q59651508,
Zacharias Topelius,Krypskyttarne,Sommarlek,https://www.wikidata.org/wiki/Q59651602,
Zacharias Topelius,Askungen,(Sagolek i tre äfventyr.),https://www.wikidata.org/wiki/Q59651619,
Zacharias Topelius,Lucias ziffror,En jul-lek,https://www.wikidata.org/wiki/Q59652099,
Zacharias Topelius,Tidernas spegel,,https://www.wikidata.org/wiki/Q59652118,
Zacharias Topelius,Snurran,Skämtsaga i fyra äfventyr,https://www.wikidata.org/wiki/Q59652151,
Zacharias Topelius,Skogskonungen,,https://www.wikidata.org/wiki/Q59652164,
Zacharias Topelius,Jennys förmaningar,Kammarlek,https://www.wikidata.org/wiki/Q59652174,
Zacharias Topelius,Station Sylvester,En nyårslek,https://www.wikidata.org/wiki/Q59652187,
Zacharias Topelius,Perdita eller Den förlorade våren,,https://www.wikidata.org/wiki/Q59652213,
Anna Wahlenberg,Två valspråk,Komedi i tre akter,https://www.wikidata.org/wiki/Q59652303,
Anna Wahlenberg,På vakt,Komedi i tre akter,https://www.wikidata.org/wiki/Q59652323,
Gerda Meyerson,Ett pojkstreck eller Äppelkaka med vaniljsås,,https://www.wikidata.org/wiki/Q59618622,